published_year,published_month,article_count,total_view_count,average_view_count,total_comment_count
2017,7,8,105200,13150.0,0.0
2017,8,19,312500,16447.36842105263,0.0
2017,9,41,571800,13946.341463414634,0.0
2017,10,63,687600,10914.285714285714,1.0
2017,11,106,1056900,9970.754716981131,0.0
2017,12,75,1068300,14244.0,1.0
2018,1,69,932300,13511.59420289855,0.0
2018,2,51,583700,11445.098039215687,0.0
2018,3,84,997400,11873.809523809523,0.0
2018,4,31,227600,7341.935483870968,0.0
2018,5,91,1274300,14003.296703296703,0.0
2018,6,57,736300,12917.543859649122,0.0
2018,7,51,552400,10831.372549019608,0.0
2018,8,48,710100,14793.75,0.0
2018,9,14,671500,47964.28571428572,1.0
2018,10,5,45400,9080.0,0.0
2018,11,1,40600,40600.0,0.0
2018,12,3,20900,6966.666666666667,0.0
2019,1,2,15100,7550.0,0.0
2019,3,1,45800,45800.0,0.0
2019,10,478,6571600,13748.117154811716,1.0
2019,11,164,1827600,11143.90243902439,0.0
2019,12,26,342500,13173.076923076924,0.0
2020,1,14,92000,6571.428571428572,0.0
2020,2,45,645500,14344.444444444445,0.0
2020,3,58,620300,10694.827586206897,0.0
2020,4,34,353600,10400.0,0.0
2020,5,94,1607300,17098.936170212764,0.0
2020,6,83,1286200,15496.385542168675,0.0
2020,7,137,2921000,21321.167883211678,0.0
2020,8,25,342448,13697.92,0.0
2020,9,52,1219200,23446.153846153848,1.0
2020,10,43,365700,8504.651162790698,0.0
2020,11,98,1244000,12693.877551020409,1.0
2020,12,92,862725,9377.445652173914,2.0
2021,1,48,327697,6827.020833333333,0.0
2021,2,21,128622,6124.857142857143,0.0
2021,3,43,328500,7639.53488372093,2.0
2021,4,56,481348,8595.5,1.0
2021,5,34,151711,4462.088235294118,0.0
2021,6,19,61122,3216.9473684210525,0.0
2021,7,28,87147,3112.3928571428573,0.0
2021,8,11,46922,4265.636363636364,0.0
2021,9,3,4600,1533.3333333333333,0.0
2021,10,15,33605,2240.3333333333335,0.0
2021,11,18,144537,8029.833333333333,2.0
2021,12,15,46711,3114.0666666666666,0.0
2022,1,6,10372,1728.6666666666667,0.0
2022,2,13,65996,5076.615384615385,0.0
2022,3,10,75861,7586.1,1.0
2022,4,11,157724,14338.545454545454,0.0
2022,5,18,99658,5536.555555555556,0.0
2022,6,18,55120,3062.222222222222,0.0
2022,7,10,37000,3700.0,1.0
2022,8,26,79360,3052.3076923076924,0.0
2022,9,17,71960,4232.941176470588,0.0
2022,10,27,109737,4064.3333333333335,2.0
2022,11,23,40476,1759.8260869565217,0.0
2022,12,24,49441,2060.0416666666665,0.0
2023,1,15,58952,3930.133333333333,0.0
2023,2,20,39379,1968.95,0.0
2023,3,8,110100,13762.5,1.0
2023,4,10,473900,47390.0,0.0
2023,5,5,132800,26560.0,0.0
2023,6,9,327200,36355.555555555555,0.0
2023,7,6,35300,5883.333333333333,0.0
2023,8,8,36400,4550.0,0.0
2023,9,3,7400,2466.6666666666665,0.0
2023,10,2,7100,3550.0,0.0
2023,11,4,32000,8000.0,0.0
2023,12,2,22400,11200.0,0.0
2024,1,4,76200,19050.0,1.0
2024,2,3,129800,43266.666666666664,0.0
2024,10,4,83500,20875.0,0.0
2025,2,2,18500,9250.0,0.0
2025,4,1,13900,13900.0,0.0
2025,6,8,9906,1238.25,0.0
2025,7,6,9021,1503.5,0.0
2025,8,3,21200,7066.666666666667,0.0
2025,11,3,3197,1065.6666666666667,0.0
2025,12,4,3482,870.5,0.0
