source,destination,article_count,total_comments,articles_with_comments,comment_participation_rate
PROVINCIAL_PORTALS,Cần Thơ,1,0.0,0,0.0
PROVINCIAL_PORTALS,Huế,11,0.0,0,0.0
PROVINCIAL_PORTALS,Lâm Đồng,3,0.0,0,0.0
PROVINCIAL_PORTALS,Ninh Bình,8,0.0,0,0.0
PROVINCIAL_PORTALS,Quảng Nam,20,0.0,0,0.0
PROVINCIAL_PORTALS,Quảng Ninh,1,0.0,0,0.0
PROVINCIAL_PORTALS,Thanh Hóa,15,0.0,0,0.0
PROVINCIAL_PORTALS,Đà Nẵng,20,0.0,0,0.0
VIETNAM_TRAVEL,Cần Thơ,1,0.0,0,0.0
VIETNAM_TRAVEL,Huế,2,0.0,0,0.0
VIETNAM_TRAVEL,Hà Giang,3,0.0,0,0.0
VIETNAM_TRAVEL,Hà Nội,4,0.0,0,0.0
VIETNAM_TRAVEL,Hạ Long,2,0.0,0,0.0
VIETNAM_TRAVEL,Hội An,3,0.0,0,0.0
VIETNAM_TRAVEL,Mũi Né,2,0.0,0,0.0
VIETNAM_TRAVEL,Nha Trang,2,0.0,0,0.0
VIETNAM_TRAVEL,Ninh Bình,2,0.0,0,0.0
VIETNAM_TRAVEL,Phong Nha,1,0.0,0,0.0
VIETNAM_TRAVEL,Phú Quốc,2,0.0,0,0.0
VIETNAM_TRAVEL,Sa Pa,2,0.0,0,0.0
VIETNAM_TRAVEL,TP. Hồ Chí Minh,3,0.0,0,0.0
VIETNAM_TRAVEL,Đà Lạt,1,0.0,0,0.0
VIETNAM_TRAVEL,Đà Nẵng,1,0.0,0,0.0
VNTRIP,Cần Thơ,5,0.0,0,0.0
VNTRIP,Huế,22,0.0,0,0.0
VNTRIP,Hà Giang,17,0.0,0,0.0
VNTRIP,Hà Nội,66,0.0,0,0.0
VNTRIP,Hạ Long,10,0.0,0,0.0
VNTRIP,Hội An,14,0.0,0,0.0
VNTRIP,Mũi Né,5,0.0,0,0.0
VNTRIP,Nha Trang,18,0.0,0,0.0
VNTRIP,Ninh Bình,7,0.0,0,0.0
VNTRIP,Phú Quốc,32,0.0,0,0.0
VNTRIP,Sa Pa,38,0.0,0,0.0
VNTRIP,TP. Hồ Chí Minh,44,0.0,0,0.0
VNTRIP,Đà Lạt,65,0.0,0,0.0
VNTRIP,Đà Nẵng,38,0.0,0,0.0
