destination,period,article_count,total_views,median_views_per_day
Cần Thơ,2020-03,1,4700.0,2.0390455531453364
Cần Thơ,2020-05,1,5200.0,2.31832367365136
Cần Thơ,2020-06,1,3400.0,1.5280898876404494
Cần Thơ,2020-08,1,3600.0,1.6666666666666667
Cần Thơ,2022-06,1,1300.0,0.87073007367716
Huế,2020-03,2,12300.0,2.6534873077901597
Huế,2020-05,3,12700.0,1.5104398045313194
Huế,2020-06,1,5600.0,2.5100851636037653
Huế,2020-08,1,940.0,0.4376163873370577
Huế,2020-09,1,3900.0,1.8232819074333801
Huế,2020-12,6,26100.0,1.6902690964932277
Huế,2021-04,1,2200.0,1.1440457618304731
Huế,2021-05,1,2800.0,1.4736842105263157
Huế,2021-06,2,3500.0,0.9402169414127814
Huế,2021-10,1,6400.0,3.6634230108757873
Huế,2022-08,1,863.0,0.6081747709654687
Huế,2022-11,1,848.0,0.629080118694362
Huế,2023-04,1,7300.0,6.175972927241963
Hà Giang,2020-10,1,3500.0,1.674641148325359
Hà Giang,2020-11,4,9700.0,1.1645306187790156
Hà Giang,2021-04,1,1800.0,0.9370119729307652
Hà Giang,2021-05,1,5100.0,2.72
Hà Giang,2021-07,2,2086.0,0.5665336650697815
Hà Giang,2022-02,1,1100.0,0.6828057107386716
Hà Giang,2022-11,1,1100.0,0.8252063015753939
Hà Giang,2022-12,2,5894.0,2.2447953142654375
Hà Giang,2023-01,1,847.0,0.662754303599374
Hà Giang,2023-04,1,7800.0,6.4891846921797
Hà Giang,2023-11,1,3500.0,3.6082474226804124
Hà Giang,2025-06,1,775.0,1.9088669950738917
Hà Nội,2020-02,1,8100.0,3.4585824081981213
Hà Nội,2020-03,1,9800.0,4.236921746649373
Hà Nội,2020-06,2,8800.0,1.9704792601741121
Hà Nội,2020-07,1,5500.0,2.5114155251141552
Hà Nội,2020-09,4,15200.0,1.7586036283672348
Hà Nội,2020-10,2,10200.0,2.418411849691471
Hà Nội,2020-11,5,25000.0,2.2062350119904077
Hà Nội,2020-12,7,27600.0,1.9249753208292202
Hà Nội,2021-01,1,4100.0,2.034739454094293
Hà Nội,2021-02,2,8200.0,2.062087116911883
Hà Nội,2021-03,1,4000.0,2.038735983690112
Hà Nội,2021-04,5,21300.0,2.0671834625322996
Hà Nội,2021-05,3,9700.0,1.54419595314164
Hà Nội,2021-06,3,6419.0,1.2813667912439937
Hà Nội,2021-07,6,14727.0,1.121697853604843
Hà Nội,2021-08,1,2900.0,1.6129032258064515
Hà Nội,2021-10,2,2202.0,0.6350815401684247
Hà Nội,2021-11,1,5900.0,3.4342258440046565
Hà Nội,2021-12,1,1500.0,0.8912655971479501
Hà Nội,2022-01,1,5800.0,3.547400611620795
Hà Nội,2022-05,4,5091.0,0.8539890353942443
Hà Nội,2022-10,1,926.0,0.6759124087591241
Hà Nội,2022-11,2,1339.0,0.49827107716376934
Hà Nội,2022-12,3,8700.0,1.2112036336109009
Hà Nội,2023-02,2,3300.0,1.333872271624899
Hà Nội,2023-07,1,8200.0,7.543698252069917
Hà Nội,2023-11,1,3900.0,4.054054054054054
Hà Nội,2025-08,1,1700.0,5.167173252279635
Hà Nội,2025-11,1,1600.0,6.584362139917696
Hạ Long,2020-02,1,13300.0,5.693493150684931
Hạ Long,2020-05,1,8100.0,3.6064113980409616
Hạ Long,2020-10,1,5000.0,2.3946360153256707
Hạ Long,2020-12,1,1800.0,0.881488736532811
Hạ Long,2021-01,1,3100.0,1.5338941118258287
Hạ Long,2021-03,1,2200.0,1.128783991790662
Hạ Long,2022-06,1,1500.0,0.9973404255319149
Hạ Long,2022-11,1,844.0,0.6298507462686567
Hạ Long,2025-07,2,1856.0,2.505901505901506
Hội An,2020-03,1,3800.0,1.6421780466724287
Hội An,2020-04,1,8600.0,3.781882145998241
Hội An,2020-05,1,4800.0,2.1314387211367674
Hội An,2020-11,1,1900.0,0.9236752552260573
Hội An,2021-02,1,1000.0,0.5058168942842691
Hội An,2021-03,1,1200.0,0.6150691952844695
Hội An,2021-04,1,1700.0,0.8872651356993737
Hội An,2021-05,1,1100.0,0.5783385909568874
Hội An,2021-06,1,1000.0,0.5420054200542005
Hội An,2022-02,1,735.0,0.4556726596404216
Hội An,2022-08,2,3600.0,1.2467329530457083
Hội An,2023-01,1,1000.0,0.7824726134585289
Hội An,2023-05,1,1700.0,1.4604810996563573
Mũi Né,2020-05,1,4500.0,1.9937970757642889
Mũi Né,2020-06,1,4700.0,2.1010281627179257
Mũi Né,2020-09,1,2800.0,1.3182674199623352
Mũi Né,2022-08,2,2600.0,0.9004715681729396
Nha Trang,2020-02,2,8000.0,1.708315838662596
Nha Trang,2020-05,2,9600.0,2.125305343062488
Nha Trang,2020-06,6,26700.0,1.459542891832372
Nha Trang,2020-11,2,3800.0,0.9195673193276976
Nha Trang,2020-12,1,1300.0,0.6329113924050633
Nha Trang,2021-03,1,4300.0,2.218782249742002
Nha Trang,2021-05,2,4800.0,1.2631621024720268
Nha Trang,2022-06,1,1500.0,1.009421265141319
Nha Trang,2022-07,1,2000.0,1.3550135501355014
Ninh Bình,2020-06,1,4200.0,1.8791946308724832
Ninh Bình,2020-12,1,1100.0,0.5405405405405406
Ninh Bình,2021-04,1,2500.0,1.3041210224308817
Ninh Bình,2021-05,1,15700.0,8.25446898002103
Ninh Bình,2022-06,1,4300.0,2.8936742934051143
Ninh Bình,2022-12,1,1200.0,0.913937547600914
Ninh Bình,2023-06,1,2800.0,2.4734982332155475
Phú Quốc,2020-03,1,7800.0,3.3678756476683938
Phú Quốc,2020-06,2,7100.0,1.587986697242199
Phú Quốc,2020-07,2,7400.0,1.6797876358415413
Phú Quốc,2020-09,2,5100.0,1.2001090585058987
Phú Quốc,2020-10,2,7300.0,1.7354008436822606
Phú Quốc,2020-11,2,4000.0,0.9675176946410515
Phú Quốc,2020-12,2,2961.0,0.7247538066835463
Phú Quốc,2021-01,3,7000.0,1.25
Phú Quốc,2021-03,1,5900.0,3.0225409836065573
Phú Quốc,2021-04,2,4600.0,1.2044353146709303
Phú Quốc,2021-05,3,6400.0,1.0587612493382743
Phú Quốc,2021-07,3,8098.0,1.0376843255051884
